timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-01-02,187.15,188.44,183.885,185.64,184.305493247853,82488674,0.0,1.0
2025-01-03,184.22,185.88,183.43,184.25,182.925485514528,58414460,0.0,1.0
2025-01-04,182.15,183.0872,180.88,181.91,180.60230702821,71983570,0.0,1.0
2025-01-05,181.99,182.76,180.17,181.18,179.877554765385,62196924,0.0,1.0
2025-01-08,182.085,185.6,181.5,185.56,184.226068342338,59144470,0.0,1.0
2025-01-09,183.92,185.15,182.73,185.14,183.809087588383,42841809,0.0,1.0
2025-01-10,184.35,186.4,183.92,186.19,184.851539473269,46792908,0.0,1.0
2025-01-11,186.54,187.05,183.62,185.59,184.255852681906,49128408,0.0,1.0
2025-01-12,186.06,186.74,185.19,185.92,184.583480417156,40477782,0.0,1.0
2025-01-16,182.16,184.26,180.934,183.63,182.309942496785,65603041,0.0,1.0
2025-01-17,181.27,182.93,180.3,182.68,181.366771743793,47317433,0.0,1.0
2025-01-18,186.09,189.14,185.83,188.63,187.273999091481,78005754,0.0,1.0
2025-01-19,189.33,191.95,188.82,191.56,190.182936255972,68902985,0.0,1.0
2025-01-22,192.3,195.33,192.26,193.89,192.4961866291,60133852,0.0,1.0
2025-01-23,195.02,195.75,193.8299,195.18,193.776913230532,42355590,0.0,1.0
2025-01-24,195.42,196.38,194.34,194.5,193.101801533653,53463269,0.0,1.0
2025-01-25,195.22,196.2675,193.1125,194.17,192.774173798403,54822126,0.0,1.0
2025-01-26,194.27,194.76,191.94,192.42,191.03675399026,44594011,0.0,1.0
2025-01-29,192.01,192.2,189.58,191.73,190.351714180192,47145622,0.0,1.0
2025-01-30,190.94,191.8,187.47,188.04,186.688240413307,55859370,0.0,1.0
2025-01-31,187.04,187.095,184.35,184.4,183.074407212368,55467803,0.0,1.0
2025-02-01,183.985,186.95,183.82,186.86,185.516723056959,64885408,0.0,1.0
2025-02-02,179.86,187.33,179.25,185.85,184.51398362483,102551680,0.0,1.0
2025-02-05,188.15,189.25,185.84,187.68,186.330828338489,69668820,0.0,1.0
2025-02-06,186.86,189.31,186.7695,189.3,187.93918267517,43490759,0.0,1.0
2025-02-07,190.64,191.05,188.61,189.41,188.048391920253,53438955,0.0,1.0
2025-02-08,189.385,189.535,187.35,188.32,186.96622758261,40962046,0.0,1.0
2025-02-09,188.65,189.99,188.0,188.85,187.730692298193,45155216,0.24,1.0
2025-02-12,188.415,188.67,186.79,187.15,186.040768141948,41781934,0.0,1.0
