timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-01-02,373.86,375.9,366.771,370.87,366.735143847727,25258633,0.0,1.0
2025-01-03,369.01,373.2562,368.51,370.6,366.468154097036,23083465,0.0,1.0
2025-01-04,370.665,373.1,367.17,367.94,363.837810627262,20901502,0.0,1.0
2025-01-05,368.97,372.06,366.5,367.75,363.64992895085,20074451,0.0,1.0
2025-01-08,369.3,375.2,369.01,374.69,370.512554394545,23133967,0.0,1.0
2025-01-09,372.01,375.99,371.19,375.79,371.60029041588,20829953,0.0,1.0
2025-01-10,376.37,384.17,376.32,382.77,378.502469896715,25514245,0.0,1.0
2025-01-11,386.0,390.68,380.38,384.63,380.341732623699,27850846,0.0,1.0
2025-01-12,385.49,388.68,384.65,388.47,384.138920189087,21661153,0.0,1.0
2025-01-16,393.66,394.03,387.6229,390.27,385.918851860362,27202268,0.0,1.0
2025-01-17,387.98,390.11,384.81,389.47,385.127771117573,22234108,0.0,1.0
2025-01-18,391.72,393.99,390.12,393.87,389.478715202913,23392068,0.0,1.0
2025-01-19,395.76,398.67,393.5,398.67,394.225199659648,29331136,0.0,1.0
2025-01-22,400.02,400.62,393.59,396.51,392.089281654117,27016902,0.0,1.0
2025-01-23,395.75,399.38,393.93,398.9,394.452635373199,20525882,0.0,1.0
2025-01-24,401.54,405.63,400.45,402.56,398.071829771459,23281889,0.0,1.0
2025-01-25,404.32,407.01,402.5294,404.87,400.356075416263,21021155,0.0,1.0
2025-01-26,404.37,406.17,402.43,403.93,399.426555543486,17803271,0.0,1.0
2025-01-29,406.06,409.98,404.33,409.72,405.152002419422,24510236,0.0,1.0
2025-01-30,412.26,413.05,406.4501,408.59,404.034600870232,33477610,0.0,1.0
2025-01-31,406.96,415.32,397.21,397.58,393.147352147597,47871097,0.0,1.0
2025-02-01,401.83,408.0,401.8,403.78,399.278227904213,30657726,0.0,1.0
2025-02-02,403.81,412.65,403.56,411.22,406.635278812151,28256670,0.0,1.0
2025-02-05,409.9,411.16,403.99,405.65,401.127379140482,25352286,0.0,1.0
2025-02-06,405.88,407.97,402.91,405.49,400.969162991924,18382624,0.0,1.0
2025-02-07,407.44,414.3,407.4,414.05,409.433726939767,22340526,0.0,1.0
2025-02-08,414.05,415.56,412.53,414.11,409.493057995477,21225257,0.0,1.0
2025-02-09,415.25,420.82,415.09,420.55,415.861257974929,22032844,0.0,1.0
2025-02-12,420.555,420.74,414.75,415.26,410.630236563236,21202921,0.0,1.0
2025-02-13,404.94,410.071,403.39,406.32,401.789909262568,27824936,0.0,1.0
2025-02-14,408.07,409.84,404.57,409.49,405.666204902234,20401190,0.75,1.0
2025-02-15,408.14,409.13,404.29,406.56,402.763565081082,21825525,0.0,1.0
2025-02-16,407.96,408.29,403.44,404.06,400.286909943581,22296495,0.0,1.0
2025-02-20,403.24,404.49,398.01,402.79,399.02876913373,24307915,0.0,1.0
2025-02-21,400.17,402.29,397.22,402.18,398.424465280179,18631072,0.0,1.0
2025-02-22,410.19,412.83,408.57,411.65,407.806034941036,27009869,0.0,1.0
2025-02-23,415.67,415.86,408.97,410.34,406.508267648985,16295879,0.0,1.0
2025-02-26,411.455,412.16,407.36,407.54,403.734413894983,16193505,0.0,1.0
2025-02-27,407.99,408.32,403.85,407.48,403.674974171683,14835827,0.0,1.0
2025-02-28,408.175,409.3,405.3201,407.72,403.912733064883,13183125,0.0,1.0
2025-03-01,411.27,415.87,410.88,415.5,411.620083852789,17823445,0.0,1.0
2025-03-04,413.44,417.35,412.32,414.92,411.045499860888,17595956,0.0,1.0
2025-03-05,413.96,414.25,400.64,402.65,398.89007644603,26919177,0.0,1.0
2025-03-06,402.97,405.16,398.39,402.09,398.335305695229,22344149,0.0,1.0
2025-03-07,406.12,409.78,402.24,409.14,405.319473182984,18718479,0.0,1.0
2025-03-08,407.96,410.42,404.33,406.22,402.426739982382,18002186,0.0,1.0
2025-03-11,403.76,405.68,401.26,404.52,400.742614488881,15998511,0.0,1.0
2025-03-12,407.62,415.57,406.79,415.28,411.402138200688,21563656,0.0,1.0
2025-03-13,418.1,418.18,411.45,415.1,411.223819030788,16990048,0.0,1.0
2025-03-14,420.24,427.82,417.99,425.22,421.249319027395,33955263,0.0,1.0
2025-03-15,419.29,422.6,412.79,416.42,412.531492943389,45079903,0.0,1.0
